# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	66314
#@/user_id	5a07802e-f501-4e1e-90d0-e1d0749305c3
a 	啊	c=201 d=0.985963 t=66314
xin ku 	辛苦	c=32 d=1.26496 t=66314
xin ku da lao 	辛苦大佬	c=1 d=1 t=28449
xin ku le 	辛苦了	c=1 d=0.057695 t=66314
xin li 	心裏	c=1 d=2.86097e-43 t=66314
xin neng 	新能	c=1 d=6.62592e-41 t=66314
xin pei 	新配	c=1 d=1 t=31134
xin qing 	心情	c=1 d=1 t=60292
xin ren 	新人	c=2 d=6.61915e-29 t=66314
xin sai ji 	新賽季	c=1 d=1 t=52537
xin teng 	心疼	c=11 d=3.33722e-31 t=66314
xin teng bao 	心疼寶	c=1 d=1 t=46621
xin tian di 	新天地	c=3 d=1.9532e-38 t=66314
xin tiao 	信條	c=1 d=2.42332e-31 t=66314
xin wen jian 	新文件	c=2 d=1 t=54744
xin wen lian bo 	新聞聯播	c=2 d=1.99501 t=61335
xin xi 	信息	c=37 d=2.23585e-07 t=66314
xin ye wu 	新業務	c=1 d=1.39192e-08 t=66314
xin yong 	信用	c=1 d=4.79832e-09 t=66314
xin zeng 	新增	c=65 d=0.120982 t=66314
xin zeng de 	新增的	c=1 d=0.00568457 t=66314
xin zhuang tai ji 	新狀態機	c=1 d=1 t=39323
xing 	型	c=2 d=2.40827e-38 t=66314
xing 	姓	c=1 d=4.49697e-40 t=66314
xing 	性	c=5 d=1.13597e-31 t=66314
xing 	星	c=2 d=1.8024e-19 t=66314
xing 	行	c=20 d=0.0689082 t=66314
xing 	邢	c=2 d=0.00129402 t=66314
xing 	醒	c=0 d=3.55517e-41 t=66314
xing bu xing 	行不行	c=6 d=1.34728e-05 t=66314
xing chen 	星辰	c=2 d=1 t=59611
xing fen 	興奮	c=1 d=4.36704e-48 t=66314
xing hao 	型號	c=2 d=1.97531 t=32276
xing jia bi 	性價比	c=1 d=6.01211e-15 t=66314
xing la 	行啦	c=1 d=2.3553e-49 t=66314
xing la 	醒啦	c=26 d=5.72905e-06 t=66314
xing le 	行了	c=5 d=5.77464e-06 t=66314
xing le 	醒了	c=6 d=9.51199e-30 t=66314
xing ma 	行嗎	c=1 d=2.42085e-19 t=66314
xing ming 	姓名	c=1 d=4.4545e-46 t=66314
xing neng 	性能	c=16 d=3.14389e-09 t=66314
xing qi 	星期	c=1 d=1 t=60293
xing shi 	形式	c=5 d=8.14509e-14 t=66314
xing shi de 	形式的	c=1 d=7.50967e-14 t=66314
xing tian 	刑天	c=1 d=1 t=61388
xing xiang 	形象	c=1 d=1 t=37660
xing yi ci 	醒一次	c=1 d=3.57299e-40 t=66314
xing zhi 	性質	c=1 d=3.23023e-30 t=66314
xing zhi 	興致	c=0 d=4.51644e-33 t=66314
xing zhi bu gao 	興致不高	c=1 d=4.53907e-32 t=66314
xiong 	兇	c=2 d=3.08216e-31 t=66314
xiong 	熊	c=1 d=5.11779e-32 t=66314
xiong da 	胸大	c=1 d=2.94198e-48 t=66314
xiong di 	兄弟	c=2 d=1.46631e-35 t=66314
xiong xiong 	兇兇	c=1 d=1.99705e-49 t=66314
xiu 	修	c=7 d=4.85826e-08 t=66314
xiu 	秀	c=3 d=4.64844e-19 t=66314
xiu bu 	修補	c=1 d=5.33136e-13 t=66314
xiu fu 	修復	c=64 d=0.0903826 t=66314
xiu ga 	秀噶	c=2 d=2.3477e-11 t=66314
xiu gai 	修改	c=140 d=7.01371e-05 t=66314
xiu hao 	修好	c=3 d=1 t=60136
xiu hao le 	修好了	c=2 d=1.99501 t=39318
xiu jia 	休假	c=1 d=1 t=49283
xiu kong tiao 	修空調	c=1 d=1 t=59057
xiu lu 	修路	c=1 d=2.0818e-38 t=66314
xiu xi 	休息	c=5 d=1.00001 t=66208
xiu xiu 	羞羞	c=1 d=1.08344e-31 t=66314
xiu yi xia 	修一下	c=1 d=2.25749e-50 t=66314
xiu zheng 	修正	c=3 d=2.34531e-06 t=66314
xu 	需	c=7 d=3.85874e-05 t=66314
xu a yo 	需啊唷	c=8 d=0.00598773 t=66314
xu ao 	需奧	c=1 d=1 t=48772
xu hao 	序號	c=1 d=5.18084e-29 t=66314
xu lie 	序列	c=1 d=1 t=33358
xu lie hua 	序列化	c=4 d=3.50002 t=40857
xu ni 	虛擬	c=1 d=2.78843e-35 t=66314
xu ni ji 	虛擬機	c=1 d=1 t=38866
xu qiu 	需求	c=24 d=0.036334 t=66314
xu ya 	楈枒	c=2 d=1 t=39605
xu yao 	需要	c=391 d=0.391467 t=66314
xu yao pei 	需要配	c=1 d=1 t=27663
xu zu 	續租	c=1 d=1 t=47221
xuan 	選	c=17 d=8.08565e-07 t=66314
xuan dao 	宣導	c=1 d=1 t=60111
xuan dao 	選到	c=1 d=1 t=60112
xuan hao 	選好	c=1 d=2.40125e-42 t=66314
xuan hao le 	選好了	c=1 d=1 t=47609
xuan le 	選了	c=2 d=8.3252e-21 t=66314
xuan qu 	選取	c=4 d=1.00072 t=44735
xuan ran 	渲染	c=1 d=1 t=43577
xuan shang 	選上	c=1 d=1 t=55876
xuan wo 	選我	c=1 d=1 t=63195
xuan xiang 	選項	c=4 d=9.91061e-13 t=66314
xuan xing 	選型	c=1 d=1 t=65003
xuan yao 	炫耀	c=1 d=1.99121e-44 t=66314
xuan ze 	選擇	c=9 d=4.88345e-10 t=66314
xuan zhe 	懸着	c=1 d=2.11585e-23 t=66314
xuan zhong 	選中	c=1 d=4.46845e-24 t=66314
xue 	學	c=4 d=5.25556e-21 t=66314
xue ba 	學霸	c=1 d=1.0743e-49 t=66314
xue beng 	雪崩	c=2 d=3.87636e-12 t=66314
xue xi 	學習	c=3 d=2.17126e-33 t=66314
xue xiao 	學校	c=2 d=8.44958e-19 t=66314
xue xing 	血腥	c=3 d=8.40744e-19 t=66314
xue zhong 	雪中	c=1 d=1.00481e-27 t=66314
xun 	尋	c=1 d=1 t=62488
xun huan 	循環	c=1 d=2.13487e-40 t=66314
xun lei 	迅雷	c=3 d=3.94323e-19 t=66314
xun lian 	訓練	c=5 d=1 t=65707
ya 	呀	c=352 d=1.89776 t=66314
ya 	壓	c=3 d=1.25047 t=61201
ya ce 	壓測	c=7 d=7.99871e-09 t=66314
ya ce yi bo 	壓測一波	c=1 d=1 t=42852
ya li 	壓力	c=3 d=1.60687e-21 t=66314
ya she 	鴨舌	c=1 d=1.55668e-30 t=66314
ya suo 	壓縮	c=3 d=3.2638e-34 t=66314
ya wan 	壓完	c=1 d=1 t=60780
ya zhe 	押着	c=1 d=0.00752142 t=66314
yan 	岩	c=1 d=1 t=40237
yan 	眼	c=1 d=5.46336e-36 t=66314
yan 	顏	c=1 d=3.71754e-36 t=66314
yan chang 	延長	c=4 d=2.7248 t=49813
yan chi 	延遲	c=11 d=1 t=64616
yan ge 	嚴格	c=1 d=1 t=36028
yan guang 	眼光	c=1 d=1.02776e-28 t=66314
yan jin 	嚴謹	c=2 d=1.99501 t=37037
yan jiu 	研究	c=2 d=2.53443e-29 t=66314
yan se 	顏色	c=10 d=3.291e-14 t=66314
yan shen 	眼神	c=1 d=1.56177e-39 t=66314
yan sheng pin 	衍生品	c=2 d=1.99501 t=53619
yan shi 	延時	c=6 d=0.000169951 t=66314
yan shi dui lie 	延時隊列	c=1 d=3.75171e-26 t=66314
yan shou 	驗收	c=2 d=1 t=49335
yan wen zi 	顏文字	c=3 d=7.97811e-20 t=66314
yan zheng 	驗證	c=18 d=0.205384 t=66314
yan zheng ma 	驗證碼	c=6 d=5.75852e-08 t=66314
yan zhong 	嚴重	c=3 d=1.52321e-39 t=66314
yang 	樣	c=7 d=0.0531307 t=66314
yang cong 	洋蔥	c=1 d=1.63928e-50 t=66314
yang li 	樣例	c=2 d=1.81465 t=63497
yang pu 	楊浦	c=4 d=4.28379e-17 t=66314
yang rou chuan 	羊肉串	c=1 d=2.22585e-31 t=66314
yang shi 	央視	c=1 d=9.77304e-25 t=66314
yang shi 	樣式	c=2 d=6.69735e-20 t=66314
yang tai 	陽臺	c=1 d=4.60924e-36 t=66314
yang xing 	陽性	c=1 d=1 t=52349
yang zhu chang 	養豬場	c=1 d=1 t=42565
yang zi 	樣子	c=2 d=4.2947e-28 t=66314
yao 	咬	c=1 d=0.856415 t=66314
yao 	妖	c=3 d=0.00188279 t=66314
yao 	幺	c=0 d=3.32577e-21 t=66314
yao 	要	c=221 d=0.402159 t=66314
yao bu 	要不	c=18 d=0.204983 t=66314
yao bu yao 	要不要	c=13 d=1.08829e-23 t=66314
yao dao 	要到	c=5 d=1.75295e-37 t=66314
yao de 	要得	c=1 d=1 t=41693
yao deng 	要等	c=1 d=1 t=51210
yao e zi 	幺蛾子	c=1 d=3.34244e-20 t=66314
yao jin 	要緊	c=1 d=1 t=39994
yao ma 	要嗎	c=1 d=1 t=47571
yao mai 	要買	c=1 d=4.46299e-39 t=66314
yao me 	要麼	c=3 d=1 t=63057
yao men 	腰門	c=1 d=1 t=63056
yao qian yi 	要遷移	c=1 d=1 t=63085
yao qing 	邀請	c=0 d=0.1 t=52484
yao qing wo 	邀請我	c=1 d=1 t=52485
yao qiu 	要求	c=21 d=0.0305009 t=66314
yao shi 	要是	c=2 d=3.68569e-23 t=66314
yao shi 	鑰匙	c=1 d=4.00653e-05 t=66314
yao ta 	要他	c=1 d=4.07331e-23 t=66314
yao tiao jiao 	要調教	c=1 d=7.36473e-20 t=66314
yao wo 	要我	c=2 d=8.6068e-30 t=66314
yao zou 	要走	c=1 d=1 t=61795
ye 	也	c=207 d=2.49567 t=66314
ye 	夜	c=2 d=1.19757e-17 t=66314
ye 	液	c=0 d=0.1 t=35152
ye 	葉	c=1 d=1 t=60483
ye 	野	c=5 d=1.20534e-42 t=66314
ye 	頁	c=4 d=1.39183e-26 t=66314
ye bu 	也不	c=0 d=8.20238e-53 t=66314
ye bu gui 	也不貴	c=1 d=8.2435e-52 t=66314
ye bu ji 	也不急	c=1 d=5.24841e-05 t=66314
ye bu shi 	也不是	c=1 d=1 t=57295
ye bu xing 	也不行	c=2 d=1.40056e-22 t=66314
ye bu yong 	也不用	c=1 d=1 t=45092
ye cai 	野菜	c=0 d=2.11729e-32 t=66314
ye dian 	夜店	c=1 d=1.96497e-35 t=66314
ye dui 	也對	c=1 d=1 t=49449
ye fan 	葉凡	c=1 d=1 t=60489
ye hai 	也還	c=1 d=1 t=63192
ye hao ya 	也好呀	c=1 d=2.00541e-10 t=66314
ye huang su 	葉黃素	c=1 d=1 t=42254
ye hui 	也會	c=15 d=0.120633 t=66314
ye jiu shi 	也就是	c=2 d=1.33734e-08 t=66314
ye ke 	也可	c=1 d=3.20408e-52 t=66314
ye ke yi 	也可以	c=22 d=0.000978001 t=66314
ye lang 	野狼	c=1 d=2.9496e-49 t=66314
ye li hai 	也厲害	c=1 d=1 t=26408
ye mei 	也沒	c=4 d=4.59845e-10 t=66314
ye mei qian 	也沒錢	c=1 d=1 t=63299
ye mei you 	也沒有	c=2 d=9.27082e-22 t=66314
ye mian 	頁面	c=21 d=0.00108086 t=66314
ye mian ma 	頁面嗎	c=1 d=1 t=24446
ye neng 	也能	c=6 d=4.1526e-05 t=66314
ye shi 	也是	c=50 d=0.439154 t=66314
ye shi ge 	也是個	c=1 d=3.76655e-43 t=66314
ye suan 	也算	c=1 d=1 t=59372
ye wen jie 	葉文潔	c=1 d=1.31488e-44 t=66314
ye wu 	業務	c=40 d=0.029057 t=66314
ye wu fang 	業務方	c=19 d=0.00565622 t=66314
ye xiang 	也想	c=1 d=4.32519e-23 t=66314
ye xiang chi 	也想吃	c=1 d=5.84337e-33 t=66314
ye xing 	也行	c=12 d=1.82367e-10 t=66314
ye xu yao 	也需要	c=1 d=1 t=52827
ye yao 	也要	c=13 d=7.46979e-06 t=66314
ye yi yang 	也一樣	c=1 d=1.02438e-48 t=66314
ye you 	也有	c=22 d=4.15207e-13 t=66314
ye zai 	也在	c=2 d=1.41315e-39 t=66314
ye zhi dao 	也知道	c=1 d=1 t=49598
yi 	一	c=22 d=0.118852 t=66314
yi 	以	c=25 d=0.212883 t=66314
yi 	億	c=9 d=3.70069 t=64561
yi 	已	c=6 d=0.00148848 t=66314
yi 	益	c=0 d=8.33087e-30 t=66314
yi 	義	c=1 d=1 t=34017
yi ao 	一奧	c=1 d=4.56353e-07 t=66314
yi ban 	一半	c=3 d=1.49178e-29 t=66314
yi ban 	一版	c=1 d=1.04649 t=32059
yi ban 	一般	c=48 d=0.769786 t=66314
yi ban ba 	一般吧	c=1 d=1 t=50175
yi bao 	一包	c=1 d=1 t=33671
yi bao 	醫保	c=3 d=0.00010041 t=66314
yi bei 	一杯	c=2 d=5.5497e-44 t=66314
yi bian 	一遍	c=8 d=8.61148e-07 t=66314
yi bo 	一波	c=26 d=1 t=66049
yi bu 	一不	c=0 d=7.33049e-25 t=66314
yi bu 	異步	c=4 d=0.07502 t=66314
yi bu fen 	一部分	c=9 d=0.000132008 t=66314
yi bu gao xing 	一不高興	c=1 d=7.36723e-24 t=66314
yi ceng 	一層	c=2 d=0.00217658 t=66314
yi chang 	異常	c=68 d=0.621533 t=66314
yi chu 	移除	c=6 d=2.07588e-24 t=66314
yi ci 	一次	c=43 d=0.440436 t=66314
yi ci 	依次	c=7 d=6.13524e-16 t=66314
yi da 	一大	c=0 d=0.1 t=47242
yi da ban 	一大半	c=1 d=1 t=32264
yi da bo 	一大波	c=1 d=1 t=47243
yi da dui 	一大堆	c=2 d=1.94205e-44 t=66314
yi dao 	移到	c=6 d=5.52126e-13 t=66314
yi deng 	一等	c=0 d=2.17126e-34 t=66314
yi deng zuo 	一等做	c=1 d=2.18214e-33 t=66314
yi di 	異地	c=1 d=9.59584e-45 t=66314
yi dian 	一點	c=21 d=0.0052214 t=66314
yi dian dian 	一點點	c=3 d=4.17359e-15 t=66314
yi ding 	一定	c=4 d=3.60461e-26 t=66314
yi dong 	移動	c=18 d=9.17233e-14 t=66314
yi dong dao 	移動到	c=1 d=1 t=46923
yi dong duan 	移動端	c=14 d=1.86289 t=65647
yi du 	一度	c=1 d=7.41046e-34 t=66314
yi duan 	一段	c=6 d=2.71311e-07 t=66314
yi dui 	一對	c=2 d=4.26066e-52 t=66314
yi dui yi 	一對一	c=1 d=1 t=51435
yi fa 	已發	c=1 d=1 t=53971
yi fang wan yi 	以防萬一	c=1 d=7.55245e-22 t=66314
yi fen 	一份	c=1 d=1 t=53677
yi fen qian 	一分錢	c=1 d=2.83645e-30 t=66314
yi fen zhong 	一分鐘	c=1 d=1 t=66190
yi feng 	一封	c=1 d=2.12205e-28 t=66314
yi fu 	衣服	c=6 d=2.52778e-14 t=66314
yi fu ya 	衣服呀	c=1 d=2.48813e-18 t=66314
yi ge 	一個	c=224 d=0.97531 t=66314
yi ge ge 	一個個	c=2 d=1.46857e-21 t=66314
yi ge ren 	一個人	c=1 d=9.05887e-44 t=66314
yi gong 	一共	c=5 d=0.442639 t=66314
yi gou 	異構	c=1 d=1 t=44516
yi gui 	衣櫃	c=1 d=1.45144e-30 t=66314
yi hang 	一行	c=1 d=1.05795e-45 t=66314
yi hao 	一號	c=1 d=1.61015e-45 t=66314
yi hou 	以後	c=79 d=0.349346 t=66314
yi hou gong yong 	以後共用	c=1 d=1 t=43884
yi hu 	一戶	c=1 d=1.19636e-21 t=66314
yi hui 	一會	c=15 d=0.00035443 t=66314
yi hui jian 	一會見	c=1 d=3.6882e-31 t=66314
yi ji 	以及	c=2 d=2.6621e-19 t=66314
yi jia 	一家	c=0 d=9.72926e-32 t=66314
yi jian 	一件	c=1 d=9.98947e-18 t=66314
yi jian 	一鍵	c=4 d=1.4482e-07 t=66314
yi jian 	意見	c=2 d=1.05448 t=59216
yi jing 	已經	c=140 d=0.585296 t=66314
yi ju 	一句	c=1 d=6.54104e-07 t=66314
yi ju 	依據	c=1 d=6.57382e-07 t=66314
yi kai shi 	一開始	c=4 d=6.45027e-11 t=66314
yi ke 	一顆	c=1 d=1 t=62844
yi kou 	一口	c=1 d=5.71871e-44 t=66314
yi lai 	依賴	c=68 d=0.107486 t=66314
yi li 	一例	c=1 d=1 t=48260
yi lian 	一臉	c=1 d=1 t=48741
yi lian 	一連	c=0 d=9.99968e-31 t=66314
yi liang ge 	一兩個	c=1 d=1 t=37717
yi liao 	醫療	c=1 d=5.0933e-05 t=66314
yi lie 	一列	c=2 d=1 t=52211
yi liu 	遺留	c=2 d=1 t=61222
yi lou 	一樓	c=1 d=2.0154e-39 t=66314
yi lou 	遺漏	c=4 d=1.00434 t=54894
yi lu 	一路	c=1 d=3.63329e-31 t=66314
yi lun 	一輪	c=1 d=1 t=47549
yi mi 	一米	c=0 d=0.1 t=24562
yi mi ba 	一米八	c=1 d=1 t=24563
yi mian 	一面	c=2 d=1 t=42552
yi miao zhong 	一秒鐘	c=2 d=3.78813e-22 t=66314
yi nei 	以內	c=1 d=5.30748e-19 t=66314
yi nian 	一年	c=4 d=0.0267827 t=66314
yi nian 	意念	c=1 d=1 t=62574
yi nian qian 	一年前	c=1 d=1 t=65608
yi pi 	一批	c=7 d=2.95733e-21 t=66314
yi qi 	一起	c=45 d=0.643668 t=66314
yi qi ya 	一起呀	c=1 d=1.13504e-49 t=66314
yi qian 	一千	c=4 d=1.4717 t=58091
yi qian 	以前	c=2 d=2.3025e-17 t=66314
yi qing 	疫情	c=2 d=1 t=64355
yi quan 	一圈	c=1 d=3.01451e-11 t=66314
yi shang 	以上	c=4 d=7.28524e-10 t=66314
yi shang xian 	已上線	c=1 d=1 t=53979
yi sheng 	醫生	c=1 d=1 t=26372
yi sheng jun 	益生菌	c=1 d=8.37263e-29 t=66314
yi shi 	一時	c=1 d=1 t=43399
yi shi xian 	已實現	c=5 d=5.17812e-34 t=66314
yi shuang 	一雙	c=2 d=3.60031e-12 t=66314
yi si 	意思	c=7 d=1.37639e-23 t=66314
yi si 	疑似	c=2 d=1 t=52992
yi si yi si 	意思意思	c=1 d=9.60268e-24 t=66314
yi sou 	一艘	c=0 d=4.56493e-41 t=66314
yi sui 	一歲	c=1 d=1.44223e-14 t=66314
yi tai 	一臺	c=29 d=0.433673 t=66314
yi tao 	一套	c=11 d=1.90536e-12 t=66314
yi tian 	一天	c=12 d=0.380983 t=66314
yi tiao 	一條	c=5 d=0.00280879 t=66314
yi wai 	以外	c=2 d=1.29152e-39 t=66314
yi wai 	意外	c=1 d=1 t=63613
yi wan cheng 	已完成	c=1 d=9.37546e-07 t=66314
yi wei 	以爲	c=5 d=1.14887e-16 t=66314
yi wen 	疑問	c=2 d=3.69712e-30 t=66314
yi xi lie 	一系列	c=1 d=9.20547e-27 t=66314
yi xia 	一下	c=298 d=1.90094 t=66314
yi xia 	以下	c=9 d=6.0684e-07 t=66314
yi xia xian 	已下線	c=2 d=1.93239 t=50318
yi xia zi 	一下子	c=1 d=9.54991e-18 t=66314
yi xiang 	一項	c=0 d=1.02832e-06 t=66314
yi xie 	一些	c=52 d=0.00236106 t=66314
yi yan 	一眼	c=2 d=0.0528657 t=66314
yi yang 	一樣	c=68 d=0.024496 t=66314
yi yang de 	一樣的	c=2 d=1 t=31450
yi yao fei 	醫藥費	c=1 d=4.21195e-05 t=66314
yi yi 	一一	c=2 d=6.11461e-08 t=66314
yi yi 	意義	c=2 d=4.86074e-14 t=66314
yi you 	已有	c=12 d=1.19422e-08 t=66314
yi you de 	已有的	c=1 d=4.34452e-46 t=66314
yi yuan 	醫院	c=2 d=3.23473e-17 t=66314
yi yue 	一月	c=1 d=1 t=50911
yi zhi 	一直	c=24 d=0.366045 t=66314
yi zhi 	一致	c=10 d=3.67555e-20 t=66314
yi zhi 	已知	c=13 d=1.00048 t=59362
yi zhi bi 	一枝筆	c=1 d=5.00265e-29 t=66314
yi zhong 	一種	c=3 d=1 t=59393
yi zhou 	一週	c=1 d=1 t=26402
yi zhuan 	一轉	c=1 d=1 t=64789
yi zu 	一組	c=1 d=1 t=62320
yin 	吟	c=2 d=1 t=66274
yin 	因	c=1 d=1 t=63962
yin cang 	隱藏	c=1 d=1 t=45158
yin ci 	因此	c=11 d=1.12555e-09 t=66314
yin er 	因而	c=0 d=0.1 t=45717
yin er wo 	因而我	c=1 d=1 t=45718
yin fa 	引發	c=2 d=0.121238 t=66314
yin he 	銀河	c=1 d=6.09966e-38 t=66314
yin jian 	陰間	c=1 d=4.976e-25 t=66314
yin liang 	音量	c=1 d=1 t=33556
yin pin 	音頻	c=1 d=1 t=27161
yin qi 	引起	c=1 d=0.167797 t=66314
yin qing 	引擎	c=4 d=0.00241755 t=66314
yin ru 	引入	c=2 d=1.61828e-16 t=66314
yin shi pin 	音視頻	c=2 d=1.00102 t=27163
yin wei 	因爲	c=56 d=0.179278 t=66314
yin xiang 	印象	c=0 d=3.53575e-06 t=66314
yin xiang zhong 	印象中	c=1 d=3.55347e-05 t=66314
yin yong 	引用	c=4 d=1.67281e-13 t=66314
yin yue 	音樂	c=1 d=1 t=66309
ying 	應	c=3 d=1.1802e-08 t=66314
ying 	穎	c=1 d=1 t=55959
ying dang 	應當	c=1 d=1 t=54762
ying gai 	應該	c=377 d=2.82115 t=66314
ying gai shi 	應該是	c=2 d=1 t=43163
ying ji 	應急	c=4 d=1 t=49599
ying jian 	硬件	c=6 d=2.82071e-08 t=66314
ying le 	硬了	c=1 d=7.90276e-26 t=66314
ying le 	贏了	c=1 d=1 t=52587
ying pan 	硬盤	c=1 d=1 t=43695
ying she 	映射	c=5 d=5.6328e-13 t=66314
ying she dao 	映射到	c=1 d=1 t=37917
ying xiang 	影響	c=74 d=0.302878 t=66314
ying xiang mian 	影響麪	c=1 d=1 t=28822
ying ye ting 	營業廳	c=1 d=2.60124e-41 t=66314
ying yong 	應用	c=61 d=0.860689 t=66314
ying zao 	營造	c=1 d=3.90071e-43 t=66314
yo 	喲	c=4 d=1 t=58405
yong 	永	c=1 d=1 t=36438
yong 	用	c=213 d=0.769188 t=66314
yong bu dao 	用不到	c=2 d=1 t=64567
yong bu diao 	用不掉	c=1 d=1 t=36312
yong bu liao 	用不了	c=2 d=1 t=49172
yong dao 	用到	c=16 d=2.05793e-20 t=66314
yong de 	用的	c=4 d=1.33366e-05 t=66314
yong fa 	用法	c=2 d=0.00351752 t=66314
yong guo 	用過	c=1 d=1 t=36132
yong hu 	用戶	c=82 d=0.370829 t=66314
yong hu ming 	用戶名	c=2 d=5.43264e-09 t=66314
yong jin 	佣金	c=2 d=2.41041e-27 t=66314
yong jiu 	永久	c=11 d=0.00319873 t=66314
yong kang 	永康	c=1 d=1 t=28269
yong lai 	用來	c=11 d=0.00384878 t=66314
yong le 	用了	c=18 d=1.9119e-07 t=66314
yong li 	用例	c=1 d=0.00835412 t=66314
yong liang 	用量	c=1 d=5.82947e-05 t=66314
yong ni 	用你	c=1 d=5.45389e-45 t=66314
yong se 	擁塞	c=1 d=1 t=29669
yong tu 	用途	c=1 d=7.61927e-08 t=66314
yong wan 	用完	c=1 d=5.1879e-45 t=66314
yong yi xia 	用一下	c=1 d=6.02851e-47 t=66314
yong yu 	用於	c=20 d=0.00227676 t=66314
yong zuo 	用作	c=1 d=2.22895e-18 t=66314
you 	又	c=41 d=1.87058e-12 t=66314
you 	友	c=1 d=1.02916e-44 t=66314
you 	右	c=1 d=1.61938e-24 t=66314
you 	有	c=711 d=3.24645 t=66314
you 	油	c=1 d=1 t=56587
you 	由	c=19 d=1.4859e-12 t=66314
you ba 	又把	c=1 d=1 t=63344
you ba 	有吧	c=1 d=1 t=63345
you ban fa 	有辦法	c=4 d=0.0742736 t=66314
you bing 	有病	c=1 d=1 t=48900
you bu 	有不	c=1 d=1 t=61882
you bu shi 	又不是	c=6 d=0.831104 t=66314
you ce 	右側	c=1 d=6.16851e-23 t=66314
you cha yi 	有差異	c=1 d=4.94177e-32 t=66314
you chong tu 	有衝突	c=1 d=1 t=53774
you de 	有的	c=23 d=6.54576e-05 t=66314
you dian 	優點	c=2 d=1.63128 t=29481
you dian 	有點	c=63 d=0.35635 t=66314
you dian can 	有點慘	c=1 d=3.7029e-19 t=66314
you dian duo 	有點多	c=1 d=1 t=31066
you dian gao 	有點高	c=1 d=2.75028e-20 t=66314
you dian huang 	有點慌	c=1 d=1 t=61924
you dian ji 	有點急	c=1 d=1 t=39945
you du 	有毒	c=3 d=1.26725 t=66314
you ge 	有個	c=28 d=0.0197134 t=66314
you ge ren 	有個人	c=1 d=1 t=31887
you guan 	有關	c=2 d=3.1881e-52 t=66314
you guan xi 	有關係	c=8 d=9.35125e-06 t=66314
you gui 	又貴	c=1 d=5.69038e-15 t=66314
you guo 	有過	c=1 d=1 t=30370
you hen 	有很	c=1 d=9.62231e-48 t=66314
you hua 	優化	c=56 d=0.158509 t=66314
you hua 	油畫	c=1 d=1 t=56664
you hua qian 	優化前	c=1 d=1 t=41420
you hua xiang 	優化項	c=1 d=1 t=24710
you hua zhong 	優化中	c=1 d=1 t=41431
you huai 	又壞	c=1 d=2.84176e-52 t=66314
you hui 	優惠	c=0 d=1.95278e-51 t=66314
you ji ge 	有幾個	c=1 d=1 t=30433
you jian 	郵件	c=7 d=0.00145173 t=66314
you jie 	有解	c=1 d=1 t=26467
you jin bu 	又進步	c=1 d=3.28072e-36 t=66314
you kai shi 	又開始	c=1 d=8.89793e-39 t=66314
you kong 	有空	c=54 d=0.00154772 t=66314
you lai 	又來	c=1 d=1 t=25824
you lai le 	又來了	c=2 d=5.02601e-25 t=66314
you le 	有了	c=6 d=0.242926 t=66314
you lian 	有臉	c=1 d=2.94809e-43 t=66314
you liang ge 	有兩個	c=2 d=1.25924 t=36532
you liang tai 	有兩臺	c=1 d=1 t=27300
you ma 	有嗎	c=6 d=5.58833e-08 t=66314
you mao bing 	有毛病	c=5 d=7.82679e-30 t=66314
you mei you 	有沒有	c=51 d=0.280973 t=66314
you na xie 	有哪些	c=1 d=1 t=52571
you neng gou 	又能夠	c=1 d=1.32701e-05 t=66314
you qi 	尤其	c=2 d=8.46857e-16 t=66314
you qian 	有錢	c=1 d=4.26806e-43 t=66314
you qian ren 	有錢人	c=1 d=1.74972e-23 t=66314
you ren 	有人	c=4 d=2.58255e-15 t=66314
you san tai 	有三臺	c=1 d=1 t=58406
you sha 	有啥	c=11 d=0.225371 t=66314
you shen me 	有什麼	c=11 d=0.293758 t=66314
you shi 	優勢	c=2 d=1 t=55226
you shi 	又是	c=1 d=1 t=47543
you shi hou 	有時候	c=7 d=1.98511 t=57093
you shi jian 	有時間	c=2 d=0.0401585 t=66314
you shi jian wen wen 	有時間問問	c=1 d=3.16745e-05 t=66314
you shuo 	有說	c=1 d=0.0500366 t=66314
you sun 	有損	c=1 d=1 t=34173
you suo 	有所	c=1 d=3.62514e-34 t=66314
you tian jia 	有添加	c=1 d=1 t=27846
you wen ti 	有問題	c=71 d=0.575524 t=66314
you xi 	遊戲	c=9 d=2.17281e-12 t=66314
you xian 	優先	c=11 d=1.41295e-08 t=66314
you xian ji 	優先級	c=7 d=0.000108709 t=66314
you xiang 	郵箱	c=3 d=1.51196e-40 t=66314
you xiang wu huan tu 	有向無環圖	c=1 d=7.31779e-33 t=66314
you xiao 	有效	c=2 d=1.15522e-21 t=66314
you xie 	有些	c=10 d=0.00366327 t=66314
you xing 	有幸	c=1 d=1 t=45337
you yan jiang cu 	油鹽醬醋	c=1 d=5.67647e-45 t=66314
you yao 	又要	c=4 d=5.09503e-09 t=66314
you yi 	有一	c=0 d=2.52573e-19 t=66314
you yi bo 	有一波	c=3 d=1 t=59090
you yi bu fen 	有一部分	c=1 d=0.000113922 t=66314
you yi ci 	有一次	c=2 d=1 t=41866
you yi ge 	有一個	c=5 d=2.40509e-05 t=66314
you yi jian 	有一件	c=1 d=2.53839e-18 t=66314
